place_id,business_name,categoria_buscada,types,user_ratings_total,price_level,vicinity,latitud,longitud,business_status,rating
ChIJ5eXcxHcAzoUR49qRBI1-qGc,La Casa Del Pastor Perisur,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",3321,3,"Primer piso en el área de restaurantes, Plaza Perisur, Anillo Periférico 4690, Insurgentes Cuicuilco, Ciudad de México",19.304941,-99.1911058,OPERATIONAL,4.2
ChIJhwPkeGgAzoURByMi2OzdEX0,Sanborns,restaurant,"['department_store', 'pharmacy', 'bar', 'bakery', 'store', 'restaurant', 'food', 'health', 'point_of_interest', 'establishment']",5216,2,"Perisur, Periferico Sur 4690, Jardines del Pedregal, Ciudad de México",19.3037898,-99.1891609,OPERATIONAL,4.1
ChIJZVG7JXYAzoURRZNAPEIcXXw,Mr Sushi,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",317,2,"Anillo Periférico Boulevard Adolfo López Mateos 4690, Insurgentes Cuicuilco, Ciudad de México",19.3047382,-99.1896424,OPERATIONAL,3.4
ChIJq9lXxHcAzoURDOmBUKMGsbQ,Sbarro,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",501,2,"Anillo Periférico Sur 4690, Ampliación Pedregal de San Ángel, Ciudad de México",19.3045771,-99.1893048,OPERATIONAL,4.2
ChIJb9FZgNj_zYUReA9CqDJmD-M,Italianni's,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",3357,2,"Av. Anillo Periférico Sur 4690, Col. Ampliación, Jardines del Pedregal de San Ángel",19.3040107,-99.1900659,OPERATIONAL,4.1
ChIJP_vcMXYAzoURuqVPuWq_Lj8,Maison Kayser Perisur,restaurant,"['cafe', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",3309,3,"Centro Comercial Perisur, Anillo Periférico Boulevard Adolfo López Mateos 4690-local 371, Segundo piso, Jardines del Pedregal de San Ángel",19.3039353,-99.1902297,OPERATIONAL,4.4
ChIJLdA8kdj_zYURy-E3WZDE-kA,Los Canarios,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",3082,3,"Anillo Periférico Boulevard Adolfo López Mateos 4690, Ciudad de México",19.3048423,-99.1907155,OPERATIONAL,4.3
ChIJ1UGEktj_zYURpsP-1LC9bDw,La Cervecería de Barrio,restaurant,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4057,2,"Plaza Perisur, Plaza Perisur, Primer piso en el área de restaurantes, Anillo Periférico 4690, Jardines del Pedregal de San Ángel, Ciudad de México",19.3046493,-99.191228,OPERATIONAL,4.6
ChIJVVVVhdj_zYURsP7K8mSBLVU,La Terraza Palacio Perisur,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",5183,3,"AV. ANILLO PERIFERICO SUR. 4690 COL JARDINES DEL PEDREGAL Piso 3 junto a, Gormet Palacio",19.3038945,-99.1918482,OPERATIONAL,4.4
ChIJbYe3FNn_zYURt2VAaP2MNFQ,Subway,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",363,2,"Anillo, Periferico Sur 4690-L-514, Col.Ampliacion Jardines, Ciudad de México",19.3041071,-99.191945,OPERATIONAL,4.3
