nombre_colonia,id_colonia
INSURGENTES CUICUILCO,1
JARDINES DEL PEDREGAL,2
AMPLIACION PEDREGAL DE SAN ANGEL,3
COL. AMPLIACION,4
SEGUNDO PISO,5
ANILLO PERIFERICO BOULEVARD ADOLFO LOPEZ MATEOS 4690,6
JARDINES DEL PEDREGAL DE SAN ANGEL,7
AV. ANILLO PERIFERICO SUR. 4690 COL JARDINES DEL PEDREGAL PISO 3 JUNTO A,8
COL.AMPLIACION JARDINES,9
PARQUES DEL PEDREGAL,10
PERIFERICO SUR 9,11
ANILLO PERIFERICO BOULEVARD ADOLFO LOPEZ MATEOS 4690-4690,12
ANILLO PERIFERICO 4690,13
PERIFERICO SUR 4690,14
PERIFERICO SUR 4690-LOCAL 517,15
ACANTILADO 1,16
ANILLO PERIFERICO SUR 4690,17
ESTEPA 11,18
MIGUEL HIDALGO VILLA OLIMPICA,19
SELVA 53,20
CIUDAD UNIVERSITARIA,21
CIRCUITO CENTRO CULTURAL S/N,22
CHARRA,23
LA JOYA,24
PEDREGAL DE CARRASCO,25
PERIFERICO SUR 4690-PISO 2,26
BOSQUES DE BOLOGNIA 1 1,27
AVENIDA CENTRO COMERCIAL 190,28
ALBA 60,29
AMPLIACION,30
109,31
4690 CENTRO COMERCIAL PERISUR. LOC. 156-157,32
CENTRO COMERCIAL PERISUR,33
PERISUR,34
PERIFERICO SUR 4690 COL,35
ISIDRO FABELA,36
ANILLO PERIFERICO 4610,37
AVENIDA INSURGENTES SUR 3493,38
ANILLO PERIFERICO 4690-LOC. 316,39
AMPLIACION DEL PEDREGAL DE SAN ANGEL,40
ANILLO PERIFERICO BOULEVARD ADOLFO LOPEZ MATEOS 4690-LOCAL 262,41
MANANTIAL PENA POBRE,42
JARDINES DEL PEDREGAL DE SAN ANGEL CIUDAD DE MEXICO,43
EL PARAISO,44
04530 CIUDAD DE MEXICO,45
AVENIDA INSURGENTES CENTRO S/N,46
PARQUE DEL PEDREGAL,47
OCASO 101,48
PERIFERICO SUR 4690-LOCAL 189,49
JARDINES EN LA MONTANA,50
COLONIA PEDREGAL DE CARRASCO,51
8R43+M9,52
PEDREGAL DE CARRASCO SECCION A,53
PARQUE NACIONAL BOSQUE DEL PEDREGAL,54
PERIFERICO SUR 4690-LOCAL 114 - 117,55
TLALPAN CENTRO I,56
LOC 133B,57
VILLA OLIMPICA,58
PERIFERICO SUR NO. 4690 LOCAL 131 C.COM.PERISUR 4690 AMPL,59
PERIFERICO SUR NO. 4829 4829,60
UNIVERSITY CITY,61
SELVA 4,62
RINCONADA DEL PEDREGAL,63
PERIFERICO SUR,64
SANTA TERESA,65
CENTRO,66
S/N,67
CAMINO A SANTA TERESA 13,68
ESPACIO ECOLOGICO CUICUILCO,69
CAMINO SANTA TERESA 305,70
SELVA 32,71
AVENIDA DEL IMAN 141,72
ANILLO PERIFERICO 4690-LOCAL 248,73
PERIFERICO SUR 5120,74
COL,75
OLIMPICA,76
AVENIDA INSURGENTES SUR 3000,77
AVENIDA PANAMERICANA S/N,78
ZONA CULTURAL,79
PLAZA CUICUILCO LOCAL 37 COL. PENA POBRE,80
CALLE ZAPOTE 139,81
AVENIDA INSURGENTES SUR 3500,82
AVENIDA SAN FERNANDO 649-LOCAL 25 Y 26,83
CALLEJON DE PENA POBRE 649-INT 41,84
AVENIDA SAN FERNANDO 649-LOCAL A,85
CALLEJON DE PENA POBRE 649,86
AVENIDA SAN FERNANDO 481,87
SAN FERNANDO,88
14030 CIUDAD DE MEXICO,89
AVENIDA SAN FERNANDO 49,90
SAN FERNANDO 547,91
AVENIDA SAN FERNANDO 60,92
LOC. 43,93
AVENIDA SAN FERNANDO 520,94
CALLE 1 ORIENTE,95
AVENIDA INSURGENTES SUR 3728,96
COL. MIGUEL HIDALGO,97
MIGUEL HIDALGO 1RA SECCION,98
TLALPAN,99
14030,100
NORTE 1 MZ 24,101
RINCONADA DE LOS CANTOS EDIF. ALMA LLANERA. DEPTO. 001,102
AVENIDA INSURGENTES SUR 3638,103
LA LONJA,104
MIGUEL HIDALGO LOCAL B,105
PEDREGAL DE CARRASCO SECCION 2DA,106
AVENIDA SAN FERNANDO 124,107
AVENIDA INSURGENTES SUR 6,108
INDEPENDENCIA 52,109
AVENIDA INSURGENTES SUR 3655-LOCAL 2,110
CALLE ZAPOTE,111
CEFIRO,112
PRIVADA DE INSURGENTES SUR 4,113
CALLEJON DE PENA POBRE 3726,114
14060 CIUDAD DE MEXICO,115
AVENIDA SAN FERNANDO 649-LOCAL 6O,116
AVENIDA SAN FERNANDO 649,117
GONZALEZ LOBO 2,118
ROMULO SANCHEZ MIRELES,119
CALLE 1A. 56,120
CALLE 2 PONIENTE 87,121
AV SAN FERNANDO,122
AVENIDA SAN FERNANDO 482,123
AVENIDA SAN FERNANDO 490,124
PETAZOL,125
14060,126
CALLEJON DE PENA POBRE,127
AVENIDA SAN FERNANDO 608,128
PLAZA CUICUILCO,129
COLONIA,130
MIGUEL HIDALGO 1A SECC,131
AVENIDA INSURGENTES SUR 3656,132
CALLE 1 ORIENTE 68,133
CORREGIDORA 29,134
AVENIDA SAN FERNANDO 469,135
SAN PEDRO APOSTOL,136
PERIFERICO SUR 5270,137
COLONIA EL ZAPOTE,138
ZAPOTE I II Y III,139
MIGUEL HIDALGO,140
AVENIDA SAN FERNANDO 547,141
PERIFERICO SUR 5246,142
AVENIDA INSURGENTES SUR 3687,143
LOMAS DE CHAPULTEPEC,144
AVENIDA INSURGENTES SUR 3655-LOCAL 11,145
AVENIDA INSURGENTES SUR 3670,146
LEO 101,147
TORIELLO GUERRA,148
EDIFICIO TEZCATLIPOCA,149
CALLE BELISARIO DOMINGUEZ,150
ORIENTE 95 SN,151
AVENIDA SAN FERNANDO NO. 12,152
AVENIDA PANAMERICANA,153
AVENIDA INSURGENTES SUR 3763,154
30,155
PERIFERICO SUR 5175,156
3A PONIENTE ESQ. PERIFERICO 3BIS,157
ANILLO PERIFERICO ESQUINA,158
CALLE 1 PONIENTE 5,159
CALLE JOHN F. KENNEDY 36,160
AVENIDA SAN FERNANDO 16,161
BARRIO DE CARAMAGUEY,162
CAMINO SANTA TERESA LOC. 24,163
AVENIDA INSURGENTES SUR 3655,164
AV. INSURGENTES SUR 3655 TLALPAN,165
CORREGIDORA 81,166
CORREGIDORA 43,167
AVENIDA SAN FERNANDO 765-LOCAL 5A,168
AVENIDA MIGUEL HIDALGO LOCAL 64,169
AREA DE COMIDA,170
CORREGIDORA SOR JUANA INES DE LA CRUZ MZ 16,171
MIGUEL HIDALGO 1A. SECCION,172
AJUSCO,173
MIGUEL HIDALGO 2DA SECCION,174
LA FAMA 121,175
EL METRO,176
AVENIDA INSURGENTES SUR 3751,177
GUADALAJARA,178
AVENIDA MIGUEL HIDALGO 55,179
LA FAMA,180
CORREGIDORA 30,181
CALLE XOCHITL,182
IZTACCIHUATL MZ 2 LT 8,183
AVENIDA INSURGENTES SUR 3735,184
CORREGIDORA 19,185
CAMINO A SANTA TERESA 187-C,186
CERRADA EMILIANO ZAPATA 77 B,187
QUERETARO,188
AVENIDA MIGUEL HIDALGO 189,189
SANTA CRUZ 187 LOCAL 1,190
JOSE MARIA MESTRE 217,191
CORREGIDORA,192
CAMISETA CALVARIO,193
BENITO JUAREZ 407,194
FUENTES BROTANTES,195
VALENTIN GAMA Y CRUZ 202,196
AYUNTAMIENTO 24,197
CORREGIDORA 118,198
1RA SECCION,199
AYUNTAMIENTO,200
GUADALAJARA 33,201
SOR JUANA INES DE LA CRUZ,202
AVENIDA MIGUEL HIDALGO 113,203
JOSE MARIA MESTRE,204
AVENIDA MIGUEL HIDALGO,205
SAN JUAN DEL RIO,206
AYUNTAMIENTO 143,207
VERACRUZ 51,208
GUADALAJARA 2,209
CONDOMINIOS DEL BOSQUE,210
CAMINO SANTA TERESA 703,211
7RR3+F6,212
PICO DE ORIZABA VERACRUZ 435,213
1A. SECCION,214
CIUDAD DE LEON 54,215
CORREGIDORA 17,216
QUERETARO 132,217
AVENIDA MIGUEL HIDALGO 175 COL,218
SAN JUAN DEL RIO 262 - A,219
AVENIDA MIGUEL HIDALGO 45,220
