place_id,name,latitud,longitud,rating,user_ratings_total,id_estatus,id_colonia,id_macro,id_lista_types,sector_1,sector_2,sector_3,sector_4,sector_5,sector_6,sector_7
ChIJ5eXcxHcAzoUR49qRBI1-qGc,LA CASA DEL PASTOR PERISUR,19.304941,-99.1911058,4.2,3321,1,1.0,1,"[45, 11]",True,False,False,False,False,False,False
ChIJhwPkeGgAzoURByMi2OzdEX0,SANBORNS,19.3037898,-99.1891609,4.1,5216,1,2.0,1,"[24, 7, 25, 70, 41, 45, 11, 42]",True,False,False,False,False,False,False
ChIJZVG7JXYAzoURRZNAPEIcXXw,MR SUSHI,19.3047382,-99.1896424,3.4,317,1,1.0,1,"[45, 11]",True,False,False,False,False,False,False
ChIJq9lXxHcAzoURDOmBUKMGsbQ,SBARRO,19.3045771,-99.1893048,4.2,501,1,3.0,1,"[45, 11]",True,False,False,False,False,False,False
ChIJb9FZgNj_zYUReA9CqDJmD-M,ITALIANNI'S,19.3040107,-99.1900659,4.1,3357,1,4.0,1,"[45, 11]",True,False,False,False,False,False,False
ChIJP_vcMXYAzoURuqVPuWq_Lj8,MAISON KAYSER PERISUR,19.3039353,-99.1902297,4.4,3309,1,5.0,1,"[18, 70, 41, 45, 11]",True,False,False,False,False,False,False
ChIJLdA8kdj_zYURy-E3WZDE-kA,LOS CANARIOS,19.3048423,-99.1907155,4.3,3082,1,6.0,1,"[45, 11]",True,False,False,False,False,False,False
ChIJ1UGEktj_zYURpsP-1LC9bDw,LA CERVECERIA DE BARRIO,19.3046493,-99.191228,4.6,4057,1,7.0,1,"[25, 45, 11]",True,False,False,False,False,False,False
ChIJVVVVhdj_zYURsP7K8mSBLVU,LA TERRAZA PALACIO PERISUR,19.3038945,-99.1918482,4.4,5183,1,8.0,1,"[45, 11]",True,False,False,False,False,False,False
ChIJbYe3FNn_zYURt2VAaP2MNFQ,SUBWAY,19.3041071,-99.191945,4.3,363,1,9.0,1,"[45, 11]",True,False,False,False,False,False,False
ChIJc--3_tr_zYURXmdk3JMg63k,MI GUSTO ES,19.301794,-99.1961058,4.4,2441,1,10.0,1,"[45, 11]",True,False,False,False,False,False,False
